Home,Wins,Ties,Losses,GF,GA,Points
Chelsea,26,9,3,69,17,87
Man_City,24,7,7,78,24,79
Arsenal,22,9,7,66,25,75
Man_United,20,10,8,57,24,70
Tottenham,19,7,12,52,35,64
Liverpool,18,8,12,44,38,62
Southampton,18,6,14,50,28,60
Swansea,16,8,14,35,43,56
Stoke,15,9,14,42,37,54
Crystal_Palace,13,9,16,40,39,48
Everton,12,11,15,37,45,47
West_Ham,12,11,15,37,41,47
West_Brom,11,11,16,28,51,44
Leicester,11,8,19,35,48,41
Newcastle,10,9,19,32,59,39
Aston_Villa,10,8,20,24,52,38
Hull,8,11,19,25,49,35
QPR,8,6,24,27,67,30
Sunderland,7,17,14,24,50,38
Burnley,7,12,19,21,51,33
